Repository,File,Commit Message
Mirantis/puppetlabs-openstack,templates/test_nova.sh.erb,"Merge pull request #146 from bodepd/fix_test_script

Edit test script template "
Mirantis/puppetlabs-openstack,templates/test_nova.sh.erb,"Edit test script template

edit a script so that a zero return code indicates
a successfully deployed openstack environment.

previously, it blocked waiting for user input for the
connection.

these changes are getting this script ready to run CI."
Mirantis/puppetlabs-openstack,manifests/controller.pp,"Merge pull request #137 from aimonb/master

add nova-volume class. "
Mirantis/puppetlabs-openstack,manifests/controller.pp,add nova-volume class.
Mirantis/puppetlabs-openstack,manifests/nova/controller.pp,"Merge pull request #135 from aimonb/master

FIX: add missing arg. ADD: tests "
Mirantis/puppetlabs-openstack,manifests/controller.pp,FIX: add missing arg. ADD: tests
Mirantis/puppetlabs-openstack,manifests/controller.pp,"Merge pull request #130 from bodepd/aimon_specs

add spec tests "
Mirantis/puppetlabs-openstack,manifests/nova/controller.pp,"Merge pull request #130 from bodepd/aimon_specs

add spec tests "
Mirantis/puppetlabs-openstack,manifests/compute.pp,"Merge pull request #129 from aimonb/rabbit_virtual_host

 Add rabbit_virtual_host support to openstack controller "
Mirantis/puppetlabs-openstack,manifests/controller.pp,"Merge pull request #129 from aimonb/rabbit_virtual_host

 Add rabbit_virtual_host support to openstack controller "
Mirantis/puppetlabs-openstack,manifests/nova/controller.pp,"Merge pull request #129 from aimonb/rabbit_virtual_host

 Add rabbit_virtual_host support to openstack controller "
Mirantis/puppetlabs-openstack,spec/fixtures/manifests/site.pp,"Merge pull request #129 from aimonb/rabbit_virtual_host

 Add rabbit_virtual_host support to openstack controller "
Mirantis/puppetlabs-openstack,manifests/all.pp,"Merge pull request #128 from aimonb/optional_horizon

Make Horizon installation optional "
Mirantis/puppetlabs-openstack,manifests/controller.pp,"Merge pull request #128 from aimonb/optional_horizon

Make Horizon installation optional "
Mirantis/puppetlabs-openstack,manifests/compute.pp,Fixed bad variable name
Mirantis/puppetlabs-openstack,spec/fixtures/manifests/site.pp,Fixed bad variable name
Mirantis/puppetlabs-openstack,manifests/controller.pp,typo
Mirantis/puppetlabs-openstack,manifests/controller.pp,typo
Mirantis/puppetlabs-openstack,manifests/all.pp,Make Horiuzon installation optional
Mirantis/puppetlabs-openstack,manifests/controller.pp,Make Horiuzon installation optional
Mirantis/puppetlabs-openstack,manifests/controller.pp,revert optional horizon for separate pull requests
Mirantis/puppetlabs-openstack,manifests/compute.pp,Add rabbit_virtual_host support to openstack controller module .. feature exists in puppetlabs-nova already. Also Made installation of Horizon optional.
Mirantis/puppetlabs-openstack,manifests/compute.pp,Add rabbit_virtual_host support to openstack controller module .. feature exists in puppetlabs-nova already. Also Made installation of Horizon optional.
Mirantis/puppetlabs-openstack,manifests/controller.pp,Add rabbit_virtual_host support to openstack controller module .. feature exists in puppetlabs-nova already. Also Made installation of Horizon optional.
Mirantis/puppetlabs-openstack,manifests/nova/controller.pp,Add rabbit_virtual_host support to openstack controller module .. feature exists in puppetlabs-nova already. Also Made installation of Horizon optional.
Mirantis/puppetlabs-openstack,manifests/all.pp,"Merge pull request #122 from bodepd/folsom_quantum_updates

quantum updates "
Mirantis/puppetlabs-openstack,manifests/compute.pp,"Merge pull request #122 from bodepd/folsom_quantum_updates

quantum updates "
Mirantis/puppetlabs-openstack,manifests/controller.pp,"Merge pull request #122 from bodepd/folsom_quantum_updates

quantum updates "
Mirantis/puppetlabs-openstack,manifests/nova/controller.pp,"Merge pull request #122 from bodepd/folsom_quantum_updates

quantum updates "
Mirantis/puppetlabs-openstack,manifests/all.pp,"quantum updates

- do not make quantum the default config
- update params to reflect latest quantum module"
Mirantis/puppetlabs-openstack,manifests/compute.pp,"quantum updates

- do not make quantum the default config
- update params to reflect latest quantum module"
Mirantis/puppetlabs-openstack,manifests/controller.pp,"quantum updates

- do not make quantum the default config
- update params to reflect latest quantum module"
Mirantis/puppetlabs-openstack,manifests/nova/controller.pp,"quantum updates

- do not make quantum the default config
- update params to reflect latest quantum module"
Mirantis/puppetlabs-apt,manifests/backports.pp,"Merge pull request #77 from jonhattan/master

«main» repository is missing from ubuntu backports. "
Mirantis/puppetlabs-apt,manifests/backports.pp,Add «main» to Ubuntu backports repos.
Mirantis/puppetlabs-apt,manifests/init.pp,"Merge pull request #75 from ytjohn/patch-1

Without puppetlabs/stdlib, you will get ""err: Could not retrieve catalog... "
Mirantis/puppetlabs-apt,manifests/init.pp,"Without puppetlabs/stdlib, you will get ""err: Could not retrieve catalog from remote server: Error 400 on SERVER: Unknown function validate_bool"""
Mirantis/puppetlabs-apt,manifests/source.pp,"Merge pull request #74 from antonlindstrom/variable-scoping

fix scoping of $lsbdistcodename in source.pp "
Mirantis/puppetlabs-apt,manifests/source.pp,"fix scoping of $lsbdistcodename in source.pp

Current unscoped variable yields deprecation warning:
warning: Dynamic lookup of $lsbdistcodename at
[..]/apt/manifests/source.pp:7 is deprecated."
Mirantis/puppetlabs-apt,manifests/builddep.pp,"Merge pull request #73 from nanliu/tb/logoutput

Add logoutput on_failure for all exec resources. "
Mirantis/puppetlabs-apt,manifests/force.pp,"Merge pull request #73 from nanliu/tb/logoutput

Add logoutput on_failure for all exec resources. "
Mirantis/puppetlabs-apt,manifests/key.pp,"Merge pull request #73 from nanliu/tb/logoutput

Add logoutput on_failure for all exec resources. "
Mirantis/puppetlabs-apt,manifests/ppa.pp,"Merge pull request #73 from nanliu/tb/logoutput

Add logoutput on_failure for all exec resources. "
Mirantis/puppetlabs-apt,manifests/source.pp,"Merge pull request #73 from nanliu/tb/logoutput

Add logoutput on_failure for all exec resources. "
Mirantis/puppetlabs-apt,manifests/update.pp,"Merge pull request #73 from nanliu/tb/logoutput

Add logoutput on_failure for all exec resources. "
Mirantis/puppetlabs-apt,manifests/builddep.pp,"Add logoutput on_failure for all exec resources.

We need more information to debug issues on exec failure. This change
enables logouput => on_failure."
Mirantis/puppetlabs-apt,manifests/force.pp,"Add logoutput on_failure for all exec resources.

We need more information to debug issues on exec failure. This change
enables logouput => on_failure."
Mirantis/puppetlabs-apt,manifests/key.pp,"Add logoutput on_failure for all exec resources.

We need more information to debug issues on exec failure. This change
enables logouput => on_failure."
Mirantis/puppetlabs-apt,manifests/ppa.pp,"Add logoutput on_failure for all exec resources.

We need more information to debug issues on exec failure. This change
enables logouput => on_failure."
Mirantis/puppetlabs-apt,manifests/source.pp,"Add logoutput on_failure for all exec resources.

We need more information to debug issues on exec failure. This change
enables logouput => on_failure."
Mirantis/puppetlabs-apt,manifests/update.pp,"Add logoutput on_failure for all exec resources.

We need more information to debug issues on exec failure. This change
enables logouput => on_failure."
Mirantis/puppetlabs-apt,manifests/pin.pp,"Merge pull request #67 from branan/older_puppet_fix

Remove a trailing comma to fix older puppets "
Mirantis/puppetlabs-apt,manifests/pin.pp,Remove a trailing comma to fix older puppets
Mirantis/puppetlabs-apt,manifests/pin.pp,"Merge pull request #63 from rskvazh/master

Pin source with originator. Useful for pinning Launchpad PPA "
Mirantis/puppetlabs-apt,manifests/pin.pp,"Add functionality to pin source with originator ""release o=...""

If you need to pin certain Launchpad PPA (ppa:rskvazh/php), you may do:
apt::pin { 'my-launchpad-repo':
   priority      => 700,
   originator  =>'LP-PPA-rskvazh-php',
}"
Mirantis/puppetlabs-apt,manifests/backports.pp,"Merge pull request #61 from xaque208/pin_origin

Pin origin "
