Property,P-value,Delta,Effect size interpretation
URL,0.009844716185954797,0.08432865442211236,negligible
File,1.3408350635876058e-05,0.18368034255884724,small
Lines_of_code,2.212814067407271e-26,0.509724677948977,large
Require,6.065062162149549e-07,0.1956121675747844,small
Ensure,0.02293818411749186,0.08996980959597782,negligible
Include,2.9488000838199875e-11,0.3133306871624629,small
Attribute,1.231161877789486e-17,0.40755842625001504,medium
Hard_coded_string,1.2083179682255005e-17,0.40533323710893804,medium
Comment,0.2325306798088056,0.02706311117526071,negligible
Command,1.434905873355392e-07,0.18167165830717233,small
File_mode,4.176663247182992e-10,0.24096994190452134,small
SSH_KEY,4.176663247182992e-10,0.24096994190452134,small
