Property,P-value,Delta,Effect size interpretation
URL,0.0007954919337891948,0.17142857142857143,small
File,1.494848588905152e-07,0.3113871635610766,small
Lines_of_code,1.4033046465759788e-14,0.513365539452496,large
Require,5.958590413855632e-08,0.3214170692431562,small
Ensure,1.6644284773149107e-06,0.2875086266390614,small
Include,1.0747682493828866e-08,0.37354497354497357,medium
Attribute,1.143908603543697e-12,0.4726478030825857,medium
Hard_coded_string,2.026924245574654e-16,0.5461237635150679,large
Comment,0.00045433622431615317,0.22323441453876236,small
Command,0.00029870081097749365,0.17883597883597885,small
File_mode,2.768746542431537e-06,0.23818725557855994,small
SSH_KEY,1.7641282762756102e-06,0.24416839199447896,small
